phi,x_h2,T_ad,CO2,H2O,CO,NO,NO2,OH,H2,O2
1.1,0.0,2210.3832621978618,0.07534417544481775,0.18954026388550516,0.02614653968188164,0.0004945833248064437,2.535235831910865e-08,0.0014401149591589532,0.012388446311025633,0.0003466641933604161
1.125,0.0,2193.705499672259,0.07196641586591516,0.1897083446199334,0.031158665545752938,0.00033932755704824396,1.272041713025548e-08,0.0011388607315087683,0.015632293676591823,0.00017712367530098972
1.15,0.0,2175.3646663867157,0.06868118019652765,0.18950882754989318,0.03604304652321948,0.00023536060111043833,6.570308054876832e-09,0.0008995727492218041,0.01915099350670558,9.33314122638813e-05
1.175,0.0,2156.1573477029333,0.0655616565514078,0.1890036062676901,0.040732493698242514,0.00016527212213726924,3.494020265257283e-09,0.0007118580871619245,0.02289751683182423,5.0688792707514335e-05
1.2000000000000002,0.0,2136.521896470919,0.06263725036408066,0.18823722351684363,0.04520108807014958,0.00011740828857015155,1.9073561957779593e-09,0.0005648612487006019,0.026837852747644744,2.827948861090826e-05
1.225,0.0,2116.7035849609692,0.05991531417788692,0.1872438599930997,0.04944361496385368,8.426268652920665e-05,1.0649885556592104e-09,0.0004494764057793018,0.03094521698077629,1.6145500725995883e-05
1.25,0.0,2096.843683586568,0.05739218538061707,0.186051443404024,0.05346515088433503,6.100754308138564e-05,6.061771919385945e-10,0.00035856780377676884,0.035196990829673674,9.400074507092299e-06
1.275,0.0,2077.025786520891,0.05505874423167079,0.184683831496984,0.057275827362721396,4.4500967960522775e-05,3.506873553799885e-10,0.0002866626584112776,0.039573252635286715,5.564193018812168e-06
1.3,0.0,2057.3003096230245,0.05290330767741086,0.18316195347763714,0.06088810546010532,3.26655494207143e-05,2.0569451800368848e-10,0.00022958076386166,0.04405609503688072,3.3401064046419882e-06
1.3250000000000002,0.0,2037.6979025902385,0.05091319868070207,0.18150442498549335,0.0643152975161268,2.4105190947972227e-05,1.220649903960235e-10,0.0001841202723559165,0.04862930279842992,2.0289764979296404e-06
1.35,0.0,2018.2370818865695,0.049075623484928464,0.1797279046087346,0.06757074116092143,1.786721543914257e-05,7.315568365538826e-11,0.0001478154525344372,0.05327818564280256,1.2449950502294826e-06
1.375,0.0,1998.9287383258134,0.047378166390066805,0.177847325835892,0.07066733454840533,1.3292454618286732e-05,4.421096131699202e-11,0.00011875574902964596,0.057989471024095615,7.704849763441936e-07
1.4,0.0,1979.7788871457467,0.04580906227191714,0.17587606971171094,0.07361728207980295,9.91914335945393e-06,2.6907034426146272e-11,9.545173599085399e-05,0.06275121524302389,4.80278825750523e-07
1.425,0.0,1960.7903923427111,0.0443573350313001,0.17382610894241535,0.07643196744252677,7.420236138913541e-06,1.6472543328989912e-11,7.673566162116826e-05,0.06755271664051732,3.0120312060014546e-07
1.4500000000000002,0.0,1941.9640725595075,0.04301285340520845,0.17170813710571917,0.07912190521983599,5.561849423381477e-06,1.0134025045498546e-11,6.168723893530601e-05,0.07238442617944198,1.8985840277276765e-07
1.475,0.0,1923.2994220794253,0.041766335720976516,0.16953168851371775,0.08169674110901061,4.175291035521262e-06,6.259639346433144e-12,4.957786510573247e-05,0.07723785566725043,1.2017792749396662e-07
1.5,0.0,1904.795087010183,0.04060932359046948,0.16730525047183034,0.08416528162317616,3.137973330560068e-06,3.8790530046567965e-12,3.98283644385736e-05,0.08210548556321053,7.633228914654565e-08
1.5250000000000001,0.0,1886.44918222605,0.03953413754239711,0.16503636819974823,0.08653554084302076,2.36022468055758e-06,2.409965759414996e-12,3.1976727238227436e-05,0.08698067458576259,4.861627488586843e-08
1.55,0.0,1868.2595031001815,0.03853382309217022,0.16273174220381562,0.08881479606118657,1.7760727813684001e-06,1.5001529512195784e-12,2.5653297383163172e-05,0.09185757299305608,3.102968027696931e-08
1.575,0.0,1850.2236669885854,0.037602092787531294,0.16039731788059644,0.09100964698974806,1.3367373582519102e-06,9.350975881766945e-13,2.056155650614473e-05,0.09673104088598572,1.983600425911684e-08
1.6,0.0,1832.3392069891995,0.036733267808614044,0.1580383673129135,0.09312607511926564,1.0059930941647737e-06,5.83384545955529e-13,1.646314695108892e-05,0.10159657238203992,1.2693873294098796e-08
0.5,0.2,1490.3148377188554,0.046826114525013805,0.10532899304202603,6.289157178855979e-07,0.00078459781488805,2.983782199729063e-06,6.111709416537022e-05,5.556418007769603e-07,0.09909619757837938
